 参考表 　　全国人口の推移,,,,,,,,,,,,, 参考表 　　全国人口の推移,,,,,,,,,,,,,,, 参考表 　　全国人口の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,
　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,,,　Reference 　  　 Time  Series  of  Population　Estimates ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,　総 人 口　(確 定 値）　,,,         Total  population  (Final estimates),,,,,,,,,,,日 本 人 人 口　(確 定 値）　,,,,Japanese  population  (Final estimates),,,,,,,,,,外 国 人 人 口　(確 定 値）　,,,,Foreign  population  (Final estimates),,,,,,,,,,,,,,,,,,
,,,,,,    人　 口　 増　 減 3) 　　　,,,           Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,    人　 口　 増　 減 3) 　　　,,,     Population  change,,,,,,,,,,,,,,,,,,
  年     月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,,  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),  年　   月,, 月初人口 1)2),,,純　増　減,,,自　然　動　態 4),,社　会　動　態 5),,,国籍の異動 7),,,,,,,,,,,,,,
,,,,,Net  change,,  Natural  change,,, Migration  change,,,,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,Net  change,,  Natural  change,,,Migration  change,,,による純増減,,,,,,,,,,,,,,
,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,増減数,増減率6),出生児数,死亡者数,自然増減,入国者数,出国者数,社会増減,Net increase,,,,,,,,,,,,,,
  Year and month,,Population as of   ,,,,,,,Natural ,,,Net,,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,Year and month,,Population as of   ,,,,,,,Natural ,,,Net,or decrease,,,,,,,,,,,,,,
,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,1st of each month ,,,Number,Rate,Live Births,Deaths,change,Entries,Exits,migration,by change,,,,,,,,,,,,,,
,,,,,(6)+(9),(‰),,,(4)-(5),,,(7)-(8),,,,,,,(15)+(18)+(19),(‰),,,(13)-(14),,,(16)-(17),of nationality,,,,,,(25)+(28)+(29),(‰),,,(23)-(24),,,(26)-(27),of nationality,,,,,,,,,,,,,,
,,,       (1),,(2),(3),(4),(5),(6),(7),(8),(9),,,,,       (10),,(11),(12),(13),(14),(15),(16),(17),(18),(19),,,,      (20),,(21),(22),(23),(24),(25),(26),(27),(28),(29),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
